sensor.browser_mod_6362bdf5_0185ec78_browser_width | Browser width
sensor.browser_mod_6362bdf5_0185ec78_browser_height | Browser height
binary_sensor.browser_mod_6362bdf5_0185ec78_browser_dark_mode | Browser dark mode
binary_sensor.browser_mod_6362bdf5_0185ec78 | N/A
light.browser_mod_6362bdf5_0185ec78_screen | Screen
media_player.browser_mod_6362bdf5_0185ec78 | N/A
sensor.browser_mod_6362bdf5_0185ec78_panel | Panel
sensor.browser_mod_faeaeedf_b1fcaf80_browser_path | Browser path
sensor.browser_mod_faeaeedf_b1fcaf80_browser_visibility | Browser visibility
sensor.browser_mod_faeaeedf_b1fcaf80_browser_useragent | Browser userAgent
sensor.browser_mod_faeaeedf_b1fcaf80_browser_user | Browser user
binary_sensor.browser_mod_faeaeedf_b1fcaf80_browser_fullykiosk | Browser FullyKiosk
sensor.browser_mod_faeaeedf_b1fcaf80_browser_width | Browser width
sensor.browser_mod_faeaeedf_b1fcaf80_browser_height | Browser height
binary_sensor.browser_mod_faeaeedf_b1fcaf80_browser_dark_mode | Browser dark mode
binary_sensor.browser_mod_faeaeedf_b1fcaf80 | N/A
light.browser_mod_faeaeedf_b1fcaf80_screen | Screen
media_player.browser_mod_faeaeedf_b1fcaf80 | N/A
sensor.browser_mod_faeaeedf_b1fcaf80_panel | Panel
sensor.browser_mod_ad8c02f8_f092dd55_browser_path | Browser path
sensor.browser_mod_ad8c02f8_f092dd55_browser_visibility | Browser visibility
sensor.browser_mod_ad8c02f8_f092dd55_browser_useragent | Browser userAgent
sensor.browser_mod_ad8c02f8_f092dd55_browser_user | Browser user
binary_sensor.browser_mod_ad8c02f8_f092dd55_browser_fullykiosk | Browser FullyKiosk
sensor.browser_mod_ad8c02f8_f092dd55_browser_width | Browser width
sensor.browser_mod_ad8c02f8_f092dd55_browser_height | Browser height
binary_sensor.browser_mod_ad8c02f8_f092dd55_browser_dark_mode | Browser dark mode
binary_sensor.browser_mod_ad8c02f8_f092dd55 | N/A
light.browser_mod_ad8c02f8_f092dd55_screen | Screen
media_player.browser_mod_ad8c02f8_f092dd55 | N/A
sensor.browser_mod_ad8c02f8_f092dd55_panel | Panel
sensor.browser_mod_83fbbc2f_0152b4ba_browser_path | browser_mod_83fbbc2f_0152b4ba Browser path
sensor.browser_mod_83fbbc2f_0152b4ba_browser_visibility | browser_mod_83fbbc2f_0152b4ba Browser visibility
sensor.browser_mod_83fbbc2f_0152b4ba_browser_useragent | browser_mod_83fbbc2f_0152b4ba Browser userAgent
sensor.browser_mod_83fbbc2f_0152b4ba_browser_user | browser_mod_83fbbc2f_0152b4ba Browser user
binary_sensor.browser_mod_83fbbc2f_0152b4ba_browser_fullykiosk | browser_mod_83fbbc2f_0152b4ba Browser FullyKiosk
sensor.browser_mod_83fbbc2f_0152b4ba_browser_width | browser_mod_83fbbc2f_0152b4ba Browser width
sensor.browser_mod_83fbbc2f_0152b4ba_browser_height | browser_mod_83fbbc2f_0152b4ba Browser height
binary_sensor.browser_mod_83fbbc2f_0152b4ba_browser_dark_mode | browser_mod_83fbbc2f_0152b4ba Browser dark mode
binary_sensor.browser_mod_83fbbc2f_0152b4ba | browser_mod_83fbbc2f_0152b4ba
light.browser_mod_83fbbc2f_0152b4ba_screen | browser_mod_83fbbc2f_0152b4ba Screen
media_player.browser_mod_83fbbc2f_0152b4ba | browser_mod_83fbbc2f_0152b4ba
sensor.browser_mod_83fbbc2f_0152b4ba_panel | browser_mod_83fbbc2f_0152b4ba Panel
sensor.browser_mod_bc4e9815_531154b3_browser_path | Browser path
sensor.browser_mod_bc4e9815_531154b3_browser_visibility | Browser visibility
sensor.browser_mod_bc4e9815_531154b3_browser_useragent | Browser userAgent
sensor.browser_mod_bc4e9815_531154b3_browser_user | Browser user
binary_sensor.browser_mod_bc4e9815_531154b3_browser_fullykiosk | Browser FullyKiosk
sensor.browser_mod_bc4e9815_531154b3_browser_width | Browser width
sensor.browser_mod_bc4e9815_531154b3_browser_height | Browser height
binary_sensor.browser_mod_bc4e9815_531154b3_browser_dark_mode | Browser dark mode
binary_sensor.browser_mod_bc4e9815_531154b3 | N/A
light.browser_mod_bc4e9815_531154b3_screen | Screen
media_player.browser_mod_bc4e9815_531154b3 | N/A
sensor.browser_mod_bc4e9815_531154b3_panel | Panel
sensor.browser_mod_57e30274_ca9ab4b1_browser_path | Browser path
sensor.browser_mod_57e30274_ca9ab4b1_browser_visibility | Browser visibility
sensor.browser_mod_57e30274_ca9ab4b1_browser_useragent | Browser userAgent
sensor.browser_mod_57e30274_ca9ab4b1_browser_user | Browser user
binary_sensor.browser_mod_57e30274_ca9ab4b1_browser_fullykiosk | Browser FullyKiosk
sensor.browser_mod_57e30274_ca9ab4b1_browser_width | Browser width
sensor.browser_mod_57e30274_ca9ab4b1_browser_height | Browser height
binary_sensor.browser_mod_57e30274_ca9ab4b1_browser_dark_mode | Browser dark mode
binary_sensor.browser_mod_57e30274_ca9ab4b1 | N/A
light.browser_mod_57e30274_ca9ab4b1_screen | Screen
media_player.browser_mod_57e30274_ca9ab4b1 | N/A
sensor.browser_mod_57e30274_ca9ab4b1_panel | Panel
sensor.browser_mod_a50818cf_ac8e952f_browser_id | browser_mod_a50818cf_ac8e952f Browser ID
sensor.browser_mod_83fbbc2f_0152b4ba_browser_id | browser_mod_83fbbc2f_0152b4ba Browser ID
